Principio attivo;Confezione di riferimento;ATC;AIC;Farmaco;Confezione;Ditta;Prezzo riferimento SSN;Prezzo Pubblico 15 Ottobre 2020;Differenza;Nota;Codice gruppo equivalenza
Acarbosio;40 UNITA' 100 MG - USO ORALE;A10BF01;44155024;ACARBOSIO DOC GENERICI;"""100 MG COMPRESSE"" 40 COMPRESSE IN BLISTER PVC/PE/PVDC-AL";DOC GENERICI S.R.L.;5,63 €;5,63 €;0,00 €;;H1A
Acarbosio;40 UNITA' 100 MG - USO ORALE;A10BF01;39716182;ACARBOSIO TECNIGEN;"""100 MG COMPRESSE"" 40 COMPRESSE IN BLISTER PVC/PCTFE/PVC/AL";TECNIMEDE SOCIEDADE TECNICO-MEDICINAL S.A.;5,63 €;5,63 €;0,00 €;;H1A
Acarbosio;40 UNITA' 100 MG - USO ORALE;A10BF01;38835144;ACARPHAGE;"""100 MG COMPRESSE"" 40 COMPRESSE IN BLISTER AL/AL";MERCK SERONO S.P.A.;5,63 €;5,63 €;0,00 €;;H1A
Acarbosio;40 UNITA' 100 MG - USO ORALE;A10BF01;26851016;GLUCOBAY;"""100 MG COMPRESSE"" 40 COMPRESSE";BAYER S.P.A.;5,63 €;8,04 €;2,41 €;;H1A
Acarbosio;40 UNITA' 50 MG - USO ORALE;A10BF01;44155012;ACARBOSIO DOC GENERICI;"""50 MG COMPRESSE"" 40 COMPRESSE IN BLISTER PVC/PE/PVDC-AL";DOC GENERICI S.R.L.;5,63 €;5,63 €;0,00 €;;H1B
Acarbosio;40 UNITA' 50 MG - USO ORALE;A10BF01;39716170;ACARBOSIO TECNIGEN;"""50 MG COMPRESSE"" 40 COMPRESSE IN BLISTER PVC/PCTFE/PVC/AL";TECNIMEDE SOCIEDADE TECNICO-MEDICINAL S.A.;5,63 €;5,63 €;0,00 €;;H1B
Acarbosio;40 UNITA' 50 MG - USO ORALE;A10BF01;38835043;ACARPHAGE;"""50 MG COMPRESSE"" 40 COMPRESSE IN BLISTER AL/AL";MERCK SERONO S.P.A.;5,63 €;5,63 €;0,00 €;;H1B
Acarbosio;40 UNITA' 50 MG - USO ORALE;A10BF01;26851028;GLUCOBAY;"""50 MG COMPRESSE"" 40 COMPRESSE";BAYER S.P.A.;5,63 €;8,04 €;2,41 €;;H1B
Acarbosio;40 UNITA' 50 MG - USO ORALE;A10BF01;45430016;GLUCOBAY;"""50 MG COMPRESSE"" 40 COMPRESSE";GMM FARMA S.R.L.;5,63 €;8,04 €;2,41 €;;H1B
Aceclofenac;40 UNITA' 100 MG - USO ORALE;M01AB16;42403042;ACECLOFENAC ACCORD;"""100 MG COMPRESSE RIVESTITE CON FILM"" 40 COMPRESSE IN BLISTER AL-AL";ACCORD HEALTHCARE SLU;5,64 €;5,64 €;0,00 €;;B5B
